cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-000016,SLR 21,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-000032,MHH-CALL-3,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-000033,NCI-H1819,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-000043,Hs 895.T,fibroblast,Non-Cancerous,Skin
ACH-000049,HEK TE,kidney,Non-Cancerous,
ACH-000051,TE 617.T,soft_tissue,Sarcoma,Rhabdomyosarcoma
ACH-000064,SALE,lung,Non-Cancerous,
ACH-000068,REC-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell"
ACH-000071,,fibroblast,Non-Cancerous,Bone
ACH-000076,NCO2,blood,Leukemia,Chronic Myelogenous Leukemia (CML)
ACH-000077,MJ,lymphocyte,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous"
ACH-000079,TE 125.T,fibroblast,Non-Cancerous,Soft tissue
ACH-000084,,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-000089,NCI-H684,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000093,Panc 05.04,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-000110,NCC-StC-K140,gastric,Gastric Cancer,Adenocarcinoma
ACH-000119,Hs 863.T,fibroblast,Non-Cancerous,Bone
ACH-000122,SUP-T11,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-000125,TO 175.T,fibroblast,Non-Cancerous,Lymphoma
ACH-000130,NALM-19,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-000140,Pfeiffer,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-000154,HS888T,fibroblast,Non-Cancerous,Bone
ACH-000158,OCI-LY3,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-000165,,fibroblast,Non-Cancerous,Lymphoma
ACH-000166,Kasumi-6,blood,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)"
ACH-000170,PrEC LH,prostate,Non-Cancerous,
ACH-000172,TM-87,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-000173,JHUEM-3,uterus,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma
ACH-000175,,fibroblast,Non-Cancerous,Soft tissue
ACH-000179,NCI-H1618,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-000180,Hs 839.T,fibroblast,Non-Cancerous,Skin
ACH-000185,,fibroblast,Non-Cancerous,Bone
ACH-000194,Hs 934.T,fibroblast,Non-Cancerous,Skin
ACH-000205,PK-59,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-000216,JH-EsoAd1,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-000220,Mino,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell"
ACH-000224,,fibroblast,Non-Cancerous,Bone
ACH-000229,,fibroblast,Non-Cancerous,Bone
ACH-000230,Hs 742.T,fibroblast,Non-Cancerous,Breast
ACH-000239,HuG1-N,gastric,Gastric Cancer,"Adenocarcinoma, tubular"
ACH-000241,JK-1,blood,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis"
ACH-000275,,fibroblast,Non-Cancerous,Skin
ACH-000284,,fibroblast,Non-Cancerous,Upper aerodigestive
ACH-000285,Toledo,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-000288,BT-549,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-000297,NCI-H889,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-000300,,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-000313,KMRC-3,kidney,Kidney Cancer,"Renal Carcinoma, clear cell"
ACH-000321,MOLM-6,blood,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis"
ACH-000325,SNU-620,gastric,Gastric Cancer,Adenocarcinoma
ACH-000328,LN-215,central_nervous_system,Brain Cancer,Glioblastoma
ACH-000333,JHOM-2B,ovary,Ovarian Cancer,"Adenocarcinoma, mucinous"
ACH-000340,Hs 870.T,fibroblast,Non-Cancerous,Bone
ACH-000385,SK-RC-20,kidney,Kidney Cancer,Renal Cell Carcinoma
ACH-000388,NU-DHL-1,lymphocyte,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL)
ACH-000398,RI-1,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-000413,,fibroblast,Non-Cancerous,Breast
ACH-000418,SW 1353,bone,Bone Cancer,Chondrosarcoma
ACH-000419,KMS-28BM,plasma_cell,Myeloma,Multiple Myeloma
ACH-000453,MOLP-2,plasma_cell,Myeloma,Multiple Myeloma
ACH-000455,LN-428,central_nervous_system,Brain Cancer,Glioblastoma
ACH-000462,NALM-1,blood,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis"
ACH-000467,HCC-56,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-000492,MUTZ-5,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
