gene_name,cell_type,mean_effect,n_cell_lines
A1BG,T_cell_CD8,-0.11745,5
A1CF,T_cell_CD8,0.09288,5
A2M,T_cell_CD8,-0.04552,5
A2ML1,T_cell_CD8,0.02347,5
A3GALT2,T_cell_CD8,0.01044,5
A4GALT,T_cell_CD8,-0.09685,5
A4GNT,T_cell_CD8,0.07544,5
AAAS,T_cell_CD8,-0.42507,5
AACS,T_cell_CD8,0.03099,5
AADAC,T_cell_CD8,0.06828,5
AADACL2,T_cell_CD8,0.10331,5
AADACL3,T_cell_CD8,-0.0334,5
AADACL4,T_cell_CD8,-0.02592,5
AADAT,T_cell_CD8,0.0334,5
AAGAB,T_cell_CD8,0.06367,5
AAK1,T_cell_CD8,-0.10563,5
AAMDC,T_cell_CD8,-0.08827,5
AAMP,T_cell_CD8,-0.51644,5
AANAT,T_cell_CD8,-0.14184,5
AAR2,T_cell_CD8,-0.10236,5
AARD,T_cell_CD8,-0.16384,5
AARS1,T_cell_CD8,-1.64297,5
AARS2,T_cell_CD8,-0.73044,5
AARSD1,T_cell_CD8,-0.17579,5
AASDH,T_cell_CD8,-0.01469,5
AASDHPPT,T_cell_CD8,-0.46219,5
AASS,T_cell_CD8,0.14635,5
AATF,T_cell_CD8,-0.30786,5
AATK,T_cell_CD8,-0.18555,5
ABAT,T_cell_CD8,-0.11517,5
ABCA1,T_cell_CD8,0.03345,5
ABCA10,T_cell_CD8,0.25643,5
ABCA12,T_cell_CD8,0.03831,5
ABCA13,T_cell_CD8,-0.06618,5
ABCA2,T_cell_CD8,-0.06398,5
ABCA3,T_cell_CD8,-0.04654,5
ABCA4,T_cell_CD8,-0.0368,5
ABCA5,T_cell_CD8,-0.07139,5
ABCA6,T_cell_CD8,0.11483,5
ABCA7,T_cell_CD8,-0.06621,5
ABCA8,T_cell_CD8,0.03844,5
ABCA9,T_cell_CD8,0.02989,5
ABCB1,T_cell_CD8,-0.01926,5
ABCB10,T_cell_CD8,-0.43425,5
ABCB11,T_cell_CD8,-0.03294,5
ABCB4,T_cell_CD8,-0.01185,5
ABCB5,T_cell_CD8,0.01532,5
ABCB6,T_cell_CD8,0.0167,5
ABCB7,T_cell_CD8,-0.77276,5
ABCB8,T_cell_CD8,-0.01855,5
ABCB9,T_cell_CD8,-0.16683,5
ABCC1,T_cell_CD8,0.01068,5
ABCC10,T_cell_CD8,-0.17483,5
ABCC11,T_cell_CD8,0.09648,5
ABCC12,T_cell_CD8,0.11492,5
ABCC2,T_cell_CD8,0.08105,5
ABCC3,T_cell_CD8,-0.24688,5
ABCC4,T_cell_CD8,0.03564,5
ABCC5,T_cell_CD8,0.15082,5
ABCC6,T_cell_CD8,-0.34897,5
ABCC8,T_cell_CD8,-0.05267,5
ABCC9,T_cell_CD8,0.01606,5
ABCD1,T_cell_CD8,-0.1165,5
ABCD2,T_cell_CD8,0.07676,5
ABCD3,T_cell_CD8,-0.14321,5
ABCD4,T_cell_CD8,-0.20428,5
ABCE1,T_cell_CD8,-1.21328,5
ABCF1,T_cell_CD8,-0.74638,5
ABCF2,T_cell_CD8,-0.14964,5
ABCF3,T_cell_CD8,0.08242,5
ABCG1,T_cell_CD8,-0.22362,5
ABCG2,T_cell_CD8,0.07489,5
ABCG4,T_cell_CD8,-0.05324,5
ABCG5,T_cell_CD8,-0.09675,5
ABCG8,T_cell_CD8,-0.02297,5
ABHD1,T_cell_CD8,-0.0197,5
ABHD10,T_cell_CD8,0.02117,5
ABHD11,T_cell_CD8,-0.48329,5
ABHD12,T_cell_CD8,-0.00623,5
ABHD12B,T_cell_CD8,-0.0283,5
ABHD13,T_cell_CD8,-0.06832,5
ABHD14A,T_cell_CD8,-0.17625,5
ABHD14B,T_cell_CD8,0.06169,5
ABHD15,T_cell_CD8,-0.09582,5
ABHD16A,T_cell_CD8,-0.03979,5
ABHD16B,T_cell_CD8,0.0036,5
ABHD17A,T_cell_CD8,-1.04603,5
ABHD17B,T_cell_CD8,0.08736,5
ABHD17C,T_cell_CD8,-0.01262,5
ABHD18,T_cell_CD8,0.28268,5
ABHD2,T_cell_CD8,-0.06904,5
ABHD3,T_cell_CD8,-0.01483,5
ABHD4,T_cell_CD8,0.04692,5
ABHD5,T_cell_CD8,0.01291,5
ABHD6,T_cell_CD8,-0.05304,5
ABHD8,T_cell_CD8,-0.04006,5
ABI1,T_cell_CD8,-0.04563,5
ABI2,T_cell_CD8,0.0015,5
ABI3,T_cell_CD8,0.00938,5
ABI3BP,T_cell_CD8,0.06551,5
ABITRAM,T_cell_CD8,-0.05425,5
ABL1,T_cell_CD8,-0.01306,5
ABL2,T_cell_CD8,0.07396,5
ABLIM1,T_cell_CD8,0.03431,5
ABLIM2,T_cell_CD8,-0.03765,5
ABLIM3,T_cell_CD8,0.0778,5
ABR,T_cell_CD8,-0.12922,5
ABRA,T_cell_CD8,-0.10461,5
ABRACL,T_cell_CD8,0.06641,5
ABRAXAS1,T_cell_CD8,-0.07952,5
ABRAXAS2,T_cell_CD8,0.13232,5
ABT1,T_cell_CD8,-0.41389,5
ABTB1,T_cell_CD8,0.10783,5
ABTB2,T_cell_CD8,0.03962,5
ACAA1,T_cell_CD8,-0.06685,5
ACAA2,T_cell_CD8,-0.08211,5
ACACA,T_cell_CD8,-0.19034,5
ACACB,T_cell_CD8,-0.08117,5
ACAD10,T_cell_CD8,-0.07264,5
ACAD11,T_cell_CD8,0.10754,5
ACAD8,T_cell_CD8,0.03399,5
ACAD9,T_cell_CD8,-0.23573,5
ACADL,T_cell_CD8,-0.01058,5
ACADM,T_cell_CD8,0.11043,5
ACADS,T_cell_CD8,-0.17596,5
ACADSB,T_cell_CD8,-0.11446,5
ACADVL,T_cell_CD8,-0.06765,5
ACAN,T_cell_CD8,0.07963,5
ACAP1,T_cell_CD8,-0.12861,5
ACAP2,T_cell_CD8,0.14392,5
ACAP3,T_cell_CD8,-0.2352,5
ACAT1,T_cell_CD8,0.06885,5
ACAT2,T_cell_CD8,0.1823,5
ACBD3,T_cell_CD8,-0.07413,5
ACBD4,T_cell_CD8,-0.04633,5
ACBD5,T_cell_CD8,0.08002,5
ACBD6,T_cell_CD8,0.10542,5
ACBD7,T_cell_CD8,0.05454,5
ACCS,T_cell_CD8,0.10978,5
ACCSL,T_cell_CD8,-0.11523,5
ACD,T_cell_CD8,-0.53424,5
ACE,T_cell_CD8,-0.11476,5
ACE2,T_cell_CD8,0.33813,5
ACER1,T_cell_CD8,0.09301,5
ACER2,T_cell_CD8,0.0373,5
ACER3,T_cell_CD8,0.13054,5
ACHE,T_cell_CD8,-0.15061,5
ACIN1,T_cell_CD8,-0.55573,5
ACKR1,T_cell_CD8,-0.0063,5
ACKR2,T_cell_CD8,0.05286,5
ACKR3,T_cell_CD8,0.08574,5
ACKR4,T_cell_CD8,-0.27301,5
ACLY,T_cell_CD8,-0.77703,5
ACMSD,T_cell_CD8,0.00231,5
ACO1,T_cell_CD8,0.02721,5
ACO2,T_cell_CD8,-1.33685,5
ACOD1,T_cell_CD8,-0.08942,5
ACOT1,T_cell_CD8,0.24508,5
ACOT11,T_cell_CD8,-0.1191,5
ACOT12,T_cell_CD8,-0.21655,5
ACOT13,T_cell_CD8,-0.02798,5
ACOT2,T_cell_CD8,0.03008,5
ACOT4,T_cell_CD8,-0.37515,5
ACOT6,T_cell_CD8,-0.10069,5
ACOT7,T_cell_CD8,0.11918,5
ACOT8,T_cell_CD8,-0.08568,5
ACOT9,T_cell_CD8,0.10814,5
ACOX1,T_cell_CD8,-0.04848,5
ACOX2,T_cell_CD8,-0.07399,5
ACOX3,T_cell_CD8,0.03737,5
ACOXL,T_cell_CD8,-0.01278,5
ACP1,T_cell_CD8,-0.01287,5
ACP2,T_cell_CD8,-0.00316,5
ACP3,T_cell_CD8,-0.01291,5
ACP4,T_cell_CD8,0.0758,5
ACP5,T_cell_CD8,-0.07458,5
ACP6,T_cell_CD8,-0.04878,5
ACP7,T_cell_CD8,-0.02619,5
ACR,T_cell_CD8,-0.1136,5
ACRBP,T_cell_CD8,-0.00335,5
ACRV1,T_cell_CD8,0.17246,5
ACSBG1,T_cell_CD8,-0.06528,5
ACSBG2,T_cell_CD8,-0.08228,5
